S.N,Event Name,Category,Group,Remark
1,1500 mt. Free Style,Boys,U-19,Time Trial
2,200 mt. Free Style,Boys,U-17,Time Trial
3,200 mt. Free Style,Girls,U-17,Time Trial
4,200 mt. I.M.,Boys,U-14,Time Trial
5,200 mt. I.M.,Girls,U-14,Time Trial
6,200 mt. Butter Fly Stroke,Boys,U-19,Time Trial
7,200 mt. Butter Fly Stroke,Girls,U-19,Time Trial
8,200 mt. Butter Fly Stroke,Boys,U-17,Time Trial
9,200 mt. Butter Fly Stroke,Girls,U-17,Time Trial
10,50 mt. Back Stroke,Boys,U-14,-
11,50 mt. Back Stroke,Girls,U-14,-
12,50 mt. Breast Stroke,Boys,U-19,-
13,50 mt. Breast Stroke,Girls,U-19,-
14,50 mt. Breast Stroke,Boys,U-17,-
15,50 mt. Breast Stroke,Girls,U-17,-
16,50 mt. Breast Stroke,Boys,U-14,-
17,50 mt. Breast Stroke,Girls,U-14,-
18,50 mt. Back Stroke,Boys,U-19,-
19,50 mt. Back Stroke,Girls,U-19,-
20,200 mt. I.M.,Boys,U-17,Time Trial
21,200 mt. I.M.,Girls,U-17,Time Trial
22,100 mt. Free Style,Boys,U-14,-
23,100 mt. Free Style,Girls,U-14,-
24,100 mt. Free Style,Boys,U-19,-
25,100 mt. Free Style,Girls,U-19,-
26,4x100 mt. Free Style Relay,Boys,U-17,Time Trial
27,4x100 mt. Free Style Relay,Girls,U-17,Time Trial
